merchant_key,merchant_name,category,address,longitude,latitude,avg_price_cent,merchant_rating,business_status,review_key,review_content,review_rating,reviewed_at,author_ref,tags,owner_username
demo80-m00,老码头鲜鱼火锅,火锅,高新区营门口路33号,104.05048,30.733761,8800,4.6,OPEN,demo80-m00-r00,太难吃了，环境太吵了，绝对不会再来了。,2.5,2026-06-19T04:00:00,食客_001_01,鱼;火锅,demo-merchant
demo80-m00,老码头鲜鱼火锅,火锅,高新区营门口路33号,104.05048,30.733761,8800,4.6,OPEN,demo80-m00-r01,种类丰富，新鲜度随便选都不踩雷。,4.9,2026-06-01T14:00:00,食客_001_02,鱼;火锅,demo-merchant
demo80-m00,老码头鲜鱼火锅,火锅,高新区营门口路33号,104.05048,30.733761,8800,4.6,OPEN,demo80-m00-r02,在附近办事顺便来的，味道无功无过。,2.5,2026-07-13T20:00:00,食客_001_03,鱼;火锅,demo-merchant
demo80-m00,老码头鲜鱼火锅,火锅,高新区营门口路33号,104.05048,30.733761,8800,4.6,OPEN,demo80-m00-r03,位置好找，新鲜度值得专门跑一趟。,4.6,2026-06-22T16:00:00,食客_001_04,鱼;火锅,demo-merchant
demo80-m00,老码头鲜鱼火锅,火锅,高新区营门口路33号,104.05048,30.733761,8800,4.6,OPEN,demo80-m00-r04,第一次来，味道体验一般，可能不会专门再来。,3.4,2026-05-19T02:00:00,食客_001_05,鱼;火锅,demo-merchant
demo80-m00,老码头鲜鱼火锅,火锅,高新区营门口路33号,104.05048,30.733761,8800,4.6,OPEN,demo80-m00-r05,装修很用心，味道在这样的环境里更出众了。,4.0,2026-04-22T21:00:00,食客_001_06,鱼;火锅,demo-merchant
demo80-m00,老码头鲜鱼火锅,火锅,高新区营门口路33号,104.05048,30.733761,8800,4.6,OPEN,demo80-m00-r06,不会再去了，等了一个小时，反正周边选择很多。,2.2,2026-03-27T20:00:00,食客_001_07,鱼;火锅,demo-merchant
demo80-m00,老码头鲜鱼火锅,火锅,高新区营门口路33号,104.05048,30.733761,8800,4.6,OPEN,demo80-m00-r07,带爸妈来的，老人特别喜欢新鲜度。,4.6,2026-07-03T02:00:00,食客_001_08,鱼;火锅,demo-merchant
demo80-m00,老码头鲜鱼火锅,火锅,高新区营门口路33号,104.05048,30.733761,8800,4.6,OPEN,demo80-m00-r08,经常来，新鲜度每次都很稳定。,4.3,2026-04-02T15:00:00,食客_001_09,鱼;火锅,demo-merchant
demo80-m00,老码头鲜鱼火锅,火锅,高新区营门口路33号,104.05048,30.733761,8800,4.6,OPEN,demo80-m00-r09,周边好停车，新鲜度也没让人失望。,4.2,2026-05-31T03:00:00,食客_001_10,鱼;火锅,demo-merchant
